item,a,b1,b2,b3,b4
q1,12.592523842814652,-1.8170910549486228,0.11515288634635554,1.4750808947117573,3.077624057649593
q2,8.377717196638294,-1.8389080415967853,-0.11056935176955969,1.0728577682372433,2.0901363638226584
q3,6.3115100476855766,-2.393121980506273,-0.8953580389753788,1.2445353459936845,3.1182236242908923
q4,8.208190404703629,-1.5345742162217788,0.28742739451829624,1.96170810231795,3.401979365894941
q5,5.261510229506065,-2.1238344793926927,-0.6725597434405436,1.540586105942092,3.132125513931141
q6,3.32242934485964,-2.118230827349558,0.0041098019950876604,2.4135487501834776,3.916250726762918
q7,5.314902831498177,-0.8833045809145267,0.8767742121015633,2.5122930399379397,3.6805788270022184
q8,6.856372648260245,-1.7428201721132763,-0.17522399385844797,1.435984971557817,3.149407502948835
q9,5.175243481458767,-0.9075934156487157,0.5377935489580361,1.992411277919781,3.102799034367408
q10,10.186342388150532,-1.8903365652691204,-0.6160216071918456,1.2565475680122227,2.7537860646271253
q11,5.978816716902652,-2.0853637249419714,-0.6119745936042582,1.3664625423823238,3.0897918659758896
q12,6.764271801858145,-0.7072045147483906,0.8429966049153635,2.5629121405557194,3.7514911831002613
q13,4.131860070435391,-0.936179219420631,0.6055508707695444,2.181343474950143,3.527041650189386
q14,10.551311621863245,-1.676184814599292,-0.44112503878885284,1.144942874113322,2.289850628613993
q15,5.046603256656391,-0.63476909030873,0.894589523615508,2.787604778987604,3.782428481107798
q16,7.273519628450255,-2.4032352938792974,-0.8699435234268821,1.2229583138597795,3.0838243606444222
q17,11.704051266170975,-1.9908482844202513,-0.7302759324472532,1.0652270241482504,2.2186702090467776
q18,8.353047958495996,-1.039114322345483,0.35440912301160693,1.4299860308999752,2.459549932759588
q19,4.267202533205788,-1.4062740880940994,0.5538448894001077,2.836973525445522,4.030720143168834
q20,4.440169573605057,-1.5423512379315458,0.06276635638423946,1.8888897246392589,3.384610102756563
q21,5.291685446719775,-0.9657479163713759,0.40820299411217253,1.6780872669366995,3.1726462498867876
q22,3.6108040739638274,-0.30172768935025596,1.031577818049188,3.033506162994469,3.9863306460641623
